Branch,Talker,Event,Content,Key
0,,ChangeBGM,StairwayOfHope,
0,,ChangeBackground,Alley,
0,,,해는 천천히 모습을 감추고 있었다.,
0,,,높은 건물들 때문일까#어두운 골목길에는 별다른 불빛 하나 들어오지 않았다.,
0,,,그렇게 어두운 골목길 안#가로등에 하나 둘 켜지며 골목길을 비춰주었다.,
0,,,그 구석진 골목길 안에는 한 소년이 벽에 기대있었다.,
0,호시코,,여기가 어디지?,
0,,,정신이 들었는지 천천히 주변을 둘러보았다.,
0,,,무슨 일이 있었던건지 잘 기억이 나진 않았다.#다만 어렴풋이 예측은 가는 상황이였다.,
0,,,또 여기까지 끌려온거겠지.,
0,호시코,,일단 돌아가자.,
0,,,호시코는 자리에서 일어났다.#옆에 내팽겨진 가방을 다시 등에 메며 자리를 옮겼다.,
0,,PlaySE,Walk,
0,,ChangeBackground,Town,
0,,,골목길을 통해 가는게 돌아가는 거리는 빨랐다.,
0,,,그렇다 해도 저 으슥한 곳을 지나가는건 마냥 즐거운 일은 아니였다.#인적도 드문데다가 무슨 소리가 나도 다들 신경쓰지 않는 눈치였으니까.,
0,,,정확히는 나설 수 없는 거에 가깝겠지만,
0,,,그래 어차피 자기일은 자기가 직접 해결하는게 맞는거지,
0,,,그런 생각을 하며 한층 더 걸음을 재촉했다.,
0,,PlaySE,Walk,
0,,ChangeBGM,Park,
0,,ChangeBackground,Riverside,
0,,,온몸이 삐그덕거리는 듯한 불편함에 더 이상 걷기가 힘들었다.,
0,호시코,,조금만 쉴까,
0,,,그런 생각에 호시코는 공원 벤치에 앉아 몸에 힘을 풀었다.,
0,,,고개를 들어 하늘을 올려다보자 별들이 수놓인 하늘이 보였다.#외진 곳에서나 볼 수 있는 좋은 풍경이였다.,
0,,,찬 바람이 몸을 감쌀때 쯤이 되서야 많은 시간이 지났음을 알 수 있었다.,
0,,,돌아가서 푹 쉬는게 아니라면 몸이 불편할 수 도 있으니까,
0,,,호시코는 자리에서 일어나 다시 걸음을 옮겼다.,
0,,,조용한 물이 흐르는 소리만 들리던 도중 색다른 소리가 들렸다.#풀 위로 뭔가가 움직이는 듯한 소리였다.,
0,,,어차피 앞쪽에서 들리는 소리니까#한번 보고 가는것 정도는 괜찮겠지?,
0,,,호시코는 살짝 방향을 바꿔 다가갔다.,
0,Nia,AddTalker,1,
0,,ChangeBGM,Nia,
