Branch,Talker,Event,Content,Key
0,,ChangeBGM,AsaNoKomorebi,
0,,ChangeBackground,HoshikoRoom,
0,,FadeIn,1,
0,,,호시코는 일어나자마자 니아에게 연락을 남겼다.,
0,,,기분은 어떻냐던가 몸상태는 괜찮은지,
0,,,메시지를 보낸 후 호시코는 나갈 준비를 마쳤다.,
0,,,그래도 이젠 답이 오지 않았을까 생각이 들어 핸드폰을 켜보았다.,
0,,,하지만 아무런 대답도 돌아오지 않았다.,
0,,,그렇다고 집에 찾아갈 순 없는 일이였다.,
0,,,호시코는 문을 열고 집 밖으로 나섰다.,
0,,PlaySE,Walk,
0,,ChangeBackground,Riverside,
0,,,얼마 가지 않아 공원이 눈에 들어왔다.,
0,,,깔끔하게 정돈되어 있는 모습이 다시금 새롭게 다가왔다.,
0,,,공원을 크게 돌아 학원을 향하던 중 니아의 집쪽 길이 눈에 들어왔다.,
0,,,어차피 당번도아니고 니아의 어제 모습이 생각나 그쪽 길로 향했다.,
0,,PlaySE,Walk,
0,,ChangeBackground,Town,
0,,,시간은 널널했다.,
0,,,멀쩡한지만 보고 가자,
0,,,그런 마음으로 앞으로 걸어갔다.,
0,,PlaySE,Walk,
0,,ChangeBackground,NiaHomeOutfront,
0,,,호시코는 니아의 집 앞까지 도착했다.,
0,,,초인종을 누를가 말까 깊은 고민이 되었다.,
0,,,이미 나갔는데 뒤늦게 누르는 걸 수도 있으니까…,
0,,,확인해서 나쁠 건 없겠지,
0,,,그런 생각으로 호시코는 초인종을 눌렀다.,
0,수련,,누구세요?,
0,,,여성의 목소리가 들리자 호시코는 대답했다.,
0,호시코,,저 니아의 친구인데 혹시 니아 집에 있나요?,
0,,,그 말에 현관문이 열렸다.,
0,Extra,AddTalker,1,
0,,SelectTalker,1,
0,,,확실히 그때 봤던 사진과는 다른 느낌의 중년여성이셨다.,
0,,,호시코는 고개를 숙여 인사했다.,
0,호시코,,안녕하세요 니아를 보러 왔는데요,
0,수련,,말로 하는 것보다 직접 보는게 빠를 것 같아,
0,,,그 말에 확신이 들었다.,
0,,,니아는 아직 방에 있구나,
0,,PlaySE,Walk,
0,,ChangeBackground,NiaLivingRoom,
0,,,호시코는 신발을 벗고 안으로 들어왔다.,
0,,,그리곤 망설임 없이 니아의 방으로 향했다.,
0,수련,,어제부터 계속 저 상태더라고…,
0,호시코,,잠시 들어갈게,
0,,,호시코는 문을 두드리고 문을 열였다.,
0,,,하지만 문은 전혀 열리지 않았다.,
0,수련,,그래도 요즘은 좀 나아지나 싶었는데 말야,
0,,,문도 잠가둔건가,
0,,,그런 생각들 하던 때였나.,
0,,,찰칵 하는 소리를 두 사람 모두 들을 수 있었다.,
0,,,호시코는 조심스래 문을 열었다.,
0,,RemoveTalker,1,
0,,PlaySE,Walk,
0,,ChangeBackground,NiaRoom,
0,Nia,AddTalker,1,
0,,,니아는 책상에 앉아 있었다.,
0,,,하지만 느껴지는건 어제와 크게 다를 것 없었다.,
0,,,예상했던 상황인만큼 당황하진 않았다.,
0,,,다만 니아의 상태가 괜찮아질지가 걱정이 되었다.,
0,,,방 안쪽으로 돌아오자 니아는 호시코를 쳐다보았다.,
0,,,하지만 별 다른 말은 하지 않았다.,
0,,,니아의 품에는 여전히 액자가 눈에 들어왔다.,
0,호시코,,학원 이야기 할 상황은 아닌 것 같네,
