Branch,Talker,Event,Content,Key
0,,ChangeBackground,Alley,
0,,,해가 지평선 너머 모습을 숨기려 할때 쯤이였다.,
0,,,한 남자가 벽에 기대 쓰러져있었다.,
0,,,구석진 골목길이라 그런걸까#깜빡거리는 가로등 외엔 주변은 어둠이 내리고있었다.,
0,,,이윽고 그는 정신을 차린 것인지 고개를 들어 주변을 둘러보았다.,
0,호시코,,시간이 많이 늦었네…,
0,,,주변에 둘러본 후 널부러진 가방을 들며 자리에서 일어났다.,
0,,,몸을 움직일때마다 욱신거리는 감각이 전해졌다.,
0,,,나한테 도대체 무슨 잘못이 있다고 이런 일을 하는건지#답답하고 억울할 따름이였다.,
0,호시코,,이런 생각은 그만 두자,
0,,,자잘자잘한 생각은 전부 비워둔 채 집으로 가는길을 재촉했다.,
0,,ChangeBackground,Riverside,
0,,,집으로 돌아가는 길이 오늘따라 더 멀어보였다.,
0,,,아직 한참을 더 걸어 가야 하지만 몸은 그걸 납득하지 못한 듯 했다.,
0,호시코,,조금 정도는 쉬었다 갈까,
0,,,혼잣말을 중얼거리더니 그는 주변을 둘러보았다.,
0,,,집과는 다른 방향이긴 하지만 벤치가 하나 있었다.,
0,호시코,,좋아 저기서 조금만 쉬어야지,
0,,,삐그덕 거리는 몸을 옮겨 천천히 벤치로 향했다.,
0,,,벤치에 앉아 주변을 둘러 보았다.,
0,,,주변에는 사람 하나 지나가지 않을 정도로 고요했다.,
0,,,작게 퍼지는 풀벌레 소리만이 가득한 조용한 곳.,
0,,,그는 그대로 앉아 몸을 축 늘어트렸다.,
0,,,떠오르는 잡생각은 그대로 비우고#별이 가려진 흐릿한 하늘을 올려다 보고 있었다.,
0,,,한참을 쉰 후 통증이 좀 줄어들었을때 쯤 그는 다시 일어났다.,
0,,,그리고 집으로 가기 위해 육교로 향했다.,
0,호사코,,뭔가 있나?,
0,,,풀숲 사이로 흐릿한 무언가가 눈에 띄었다.,
