Branch,Talker,Event,Content,Key
0,,ChangeBGM,CottonCandy,
0,,ChangeBackground,Classroom,
0,,,나른한 3교시 쉬는시간이다.,
0,,,너무 나른해서 잠이온다.. #뭐라도 해야할 것 같다.,
0,,,무엇을 할까?,
0,,Choice,가만히 있는다. ,Sleep
0,,Choice,반 친구들이 뭐하는 지 확인한다.,Check
0,,Choice,복도라도 돌아다녀본다,Patrol
0,,ChoiceEnd,,
Sleep,,,그래 졸리니까 그냥 잠이나 자야겠다.,
Sleep,,,잠이나 자기로 했다.,
Check,,ChangeBGM,Precipice,
Check,,,반 친구들이 뭐하고 있는지 확인 하기로 했다.,
Check,,,마침 누군가 뭔가 하고 있다.#뭐하는지 지켜봐야겠다.,
Check,Leche,AddTalker,0,
Check,Takeshi,AddTalker,2,
Check,Takeshi,,야 지하이야기 재밌지 않냐?,
Check,Leche,,그 게임 스토리 잘 썼더라#스토리 덕분에 재밌게 했지,
Check,,TalkerBack,,
Check,호시코,,흐음.... 마침 친구들이 아는 이야기를 하고 있잖아,
Check,Var,IfByName,HoshikoExp,
Check,>=,,50,Up
Check,,IfEnd,,NoUp
Up,,Choice,와 해골! 아시는구나,San
Up,,Choice,그냥 조용히 있는다.,Slp
Up,,ChoiceEnd,,
NoUp,,Choice,와 해골! 아시는구나,San
NoUp,,ChoiceEnd,,
Slp,호시코,,그래.... 아는척해서 뭐하냐..#또 맞을께 뻔한데,
Slp,호시코,,그냥 잠이나 자자,
Slp,,RemoveTalker,0,
Slp,,RemoveTalker,2,
Slp,,,조용히 잠이나 잤다.,
San,,ChangeBGM,MilkyWay,
San,호시코,,와 해골! 아시는구나!#해골은 최종보스라 정.말.어.렵.습.니.다!,
San,Leche,,......,
San,Takeshi,,.......,
San,,TalkerBack,,
San,호시코,,나도 해골 깨느라 정말 힘들었지#어 왜 말이 없어? 설마 아직또 못 깬거야??,
San,,StopBGM,,
San,Leche,,......,
San,호시코,,얘.... 얘들아...?,
San,,FadeOut,1.25,
San,,PlaySE,Hit,
San,Red,Flash,0.75,
San,,PlaySE,Hit,
San,,SetTimer,0.25,
San,,PlaySE,Hit,
San,Red,Flash,0.25,
San,호시코,,얘... 얘들아.....#자..... 잠깐만..,
San,,PlaySE,Hit,
San,호시코,,억...,
San,,FadeIn,2.5,
San,Takeshi,,이젠... 나대지마라,
San,호시코,,...,
San,,FadeOut,1.25,
San,Var,IfByName,HoshikoExp,
San,>=,,50,SANCHI
San,,IfEnd,,PINCHI
SANCHI,,,(다시 제자리로 돌아왔다.),
SANCHI,호시코,,역시... 나대면 얻어 맞는구나..,
SANCHI,호시코,,앞으로는 주의해야겠어,
SANCHI,HoshikoExp,IncreaseVarByRandByName,2,4
PINCHI,,,(다시 제자리로 돌아왔다.),
PINCHI,호시코,,으... 아파라..#내가 뭘 잘못했다고..,
PINCHI,호시코,,나는 그저 같이 이야기를 하고 싶었을 뿐인데..,
PINCHI,HoshikoExp,IncreaseVarByRandByName,1,3
Patrol,,ChangeBGM,MilkyWay,
Patrol,호시코,,좋아 한번 정찰이라도 가 볼까?,
Patrol,,PlaySE,Walk,
Patrol,,ChangeBackgroundByMove,SchoolGate,
Patrol,호시코,,흐음.... 아무도 안보이네..,
Patrol,,PlaySE,Walk,
Patrol,,,누군가 걸어가는 소리가 들린다.,
Patrol,,ChangeBackgroundByMove,SchoolGate,
Patrol,Nia,AddTalker,1,
Patrol,호시코,,어라 #저 소녀는...?,
Patrol,Var,IfByVarByName,NiaRelationship,
Patrol,>=,,NiaRelationshipCheck1,Nia
Patrol,,IfEnd,,WhoRY
WhoRY,,,본 적은 있는데 누군지는 잘 모르겠다.. ,
WhoRY,,,그래도 안면은 있으니 인사는 해둘까?,
Nia,,,니아가 저기에서 걸어가고 있었다.,
Nia,,,여기서 만난 것도 인연인데 인사할까?,
WhoRY,,ChangeKey,,Patrol
Nia,,ChangeKey,,Patrol
Patrol,,Choice,인사한다.,SayHello
Patrol,,Choice,무시한다.,IgnoreHer
Patrol,,ChoiceEnd,,
IgnoreHer,,PlaySE,Walk,
IgnoreHer,,,그냥 무시하고 지나쳤다.,
IgnoreHer,Var,IfByVarByName,NiaRelationship,
IgnoreHer,>=,,NiaRelationshipCheck3,Check3
IgnoreHer,,IfEnd,,IgnoreHer
IgnoreHer,Var,IfByVarByName,NiaRelationship,
IgnoreHer,>=,,NiaRelationshipCheck2,Check2
IgnoreHer,,IfEnd,,IgnoreHer
IgnoreHer,Var,IfByVarByName,NiaRelationship,
IgnoreHer,>=,,NiaRelationshipCheck1,Check1
