Branch,Talker,Event,Content,Key
0,,Bookmark,여기는 E클래스 실패파트를 적어주세요,
0,,ChangeBackground,Teacherroom,
0,,ChangeBGM,Momiji,
0,,FadeIn,1,
0,,,호시코가 문을 열고 안으로 들어왔다.,
0,,,안에는 남성 선생님 한분이 계셨다.,
0,,,그때 봤던 내용에는 다른 선생님이 담당하셨던 걸로 기억하는데…,
0,호시코,,실례합니다.,
0,,,호시코가 말하자 선생님은 일어나 성큼성큼 다가왔다.,
0,Extra,AddTalker,1,
0,,SelectTalker,1,
0,,,상황을 설명하는게 좋겠지?,
0,,,호시코는 니아의 테스트 결과에 대한 이야기를 꺼냈다.,
0,,,간략하게 정리하여 니아가 어떤 일을 겪고 어떤 생각을 했는지,
0,,,그 이야기를 듣고선 선생님이 대답했다.,
0,선생님,,내가 직접 본 적은 없지만 자료는 남아있을거야,
0,,,자료가 있다면 큰 문제는 없지 않을까,
0,,,그런 생각이 들었다.,
0,,,호시코는 책상에 앉아 기다리기로 했다.,
0,선생님,,자 여기 테스트 결과들이야,
0,,,호시코는 종이를 받았다.,
0,,,뭔가 남의 개인정보를 함부로 보는 기분이 들었다.,
0,,,그래도 별 수 없는 노릇이니까,
0,호시코,,그런거구나….,
0,,,속이 곪았다는 표현이 적절하지 않을까,
0,,,전문가가 아닌 만큼 내가 이 모든걸 이해할 순 없었다.,
0,,,하지만 자료 아래 적혀진 코멘트 덕분에 대략적인 상황은 알 수 있었다.,
0,,,직접 쓰신 분을 만난다면 좋은 이야기를 들었을텐데…,
0,,,아쉬움이 남는건 어쩔 방법이 없었다.,
0,선생님,,이거면 됐니?,
0,호시코,,네 감사합니다.,
0,,,만족스러운 정보를 얻은 기분은 아니였다.,
0,,,그래도 전처럼 막연하다는 느낌이 들 정도는 아니였다.,
0,,,호시코는 자료를 조심히 봉투에 넣고 앞으로 밀었다.,
0,호시코,,감사합니다.#덕분에 좀 알 것 같아요,
0,선생님,,또 필요하면 찾아오렴,
0,,,호시코는 의자에서 일어나 문을 향해 걸었다.,
0,,RemoveTalker,1,
0,,ChangeBackground,SchoolHallway,
0,,,이번에 알아낸 것들은 노트에 적어 놓는게 좋겠지.,
0,,,기억하기에는 크게 다가오지 않는 이야기들이 많았다.,
0,,,호시코는 급격한 피로감을 느꼈다.,
0,,,일이 잘 풀리는 느낌도 들지 않고#내가 잘 하고 있는지도 잘 모르겠다.,
0,,,일단 돌아가서 정리 해두자,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,SchoolGate,
0,,SetTimer,0.5,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,Alley,
0,,SetTimer,0.5,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,Riverside,
0,,SetTimer,0.5,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,HoshikoRoom,
0,,,호시노는 방으로 돌아왔다.,
0,,,아직 해가 저물 시간도 아니였지만 피로감은 적지 않았다.,
0,,,한참동안 글을 들여다 봤기 때문이 아닐까?,
0,,,이렇든 저렇든 아무 의욕도 나지 않았다.,
0,,,아냐 그래도 적어놓긴 해야지,
0,,,기억하기 어려운 내용인 만큼 확실히 해둬야한다.,
0,,,호시코는 노트를 꺼내 하나 하나 내용을 적기 시작했다.,
0,,,단조롭고 결과적인 이야기만 잔뜩 적히긴 했지만#뭔가 채워졌다는 사실은 안도감을 주기 충분했다.,
0,,,됏어 오늘은 빨리 자자,
0,,,내일 일찍 일어나서 바로 다음 것들을 찾으면 되는거야,
0,,,그런 생각에 옷도 제대로 갈아 입지 않고 침대에 몸을 맡겼다.,
0,,Bookmark,페이드 인 아웃 설정해주세요,
0,,Bookmark,그리고 마지막에 이벤트에 LoadCSV(드롭다운에 있음) 넣어주세요,
0,,FadeOut,1,
0,,LoadCSV,,
