Branch,Talker,Event,Content,Key
0,,Bookmark,여기는 E클래스 성공파트를 적어주세요,
0,,ChangeBackground,SchoolHallway,
0,,ChangeBGM,Momiji,
0,,FadeIn,1,
0,,,문을 열고 들어가기 전 담당 선생님을 확인했다. ,
0,,,분명 니아를 담당해주신 선생님이 맞았다.,
0,,,호시코는 문에 노크를 두번정도 두드리고 대답을 기다렸다.,
0,선생님,,들어오세요,
0,,ChangeBackground,Teacherroom,
0,Extra,AddTalker,1,
0,,SelectTalker,1,
0,,,안에 들어오자 여성 선생님이 눈에 들어왔다.,
0,,,책상 위에는 검사 결과지가 이미 놓여있었다.,
0,,,마치 무엇을 알기 위해 찾아 온건지 아는 것처럼 보였다.,
0,호시코,,혹시 이걸 제가 읽어도 될까요?,
0,선생님,,응응 모르는건 물어보렴,
0,,,호시코는 다양한 검사지를 하나 둘 확인했다.,
0,,,그림을 그리거나 그림 형체를 파악하는거나,
0,,,문장을 어떤식으로 완성하는지 등 다양한 것들이 놓여있었다.,
0,,,내용을 읽어봐도 잘 이해가 되진 않았다.,
0,호시코,,물어보고 싶은게 있어요,
0,,,차라리 직접 여쭤보는게 더 낫지않을까,
0,,,이러니 저러니 해도 많은 시간동안 지켜 보셨을 것 같은데,
0,,,호시코의 질문에 선생님은 고개를 끄덕였다.,
0,호시코,,니아는 어떤 아이였나요?,
0,선생님,,니아는…,
0,,,어떤 대답이 나올까,
0,,,호시코는 다양한 답을 상상하고 있었다.,
0,,,하지만 듣게 된 이야기는 전혀 달랐다.,
0,선생님,,니아는 겁이 많은 아이였다고 생각해,
0,호시코,,니아가요?,
0,,,한번도 생각해 본 적 없는 말이였다.,
0,,,힘들어 하는 일이 있어도 망설이거나 무서워하는건 본적이 없었다.,
0,,,어두운 길도 대범하게 돌아다니는 애였으니까,
0,,,그런 애가 겁이 많다니,
0,선생님,,니아랑 친한 사이니?,
0,호시코,,나름 친하다 생각하고 있어요,
0,,,그 대답에 선생님은 고개를 끄덕였다.,
0,선생님,,그럼 니아가 널 놓칠까봐 안절부절한 적이 없었니?,
0,,,놓칠까봐…,
0,,,처음 만났을때가 떠올랐다.,
0,,,잘 해주지 않으면 언제 가버릴지 모른다.,
0,,,본인 스스로를 도구 취급하듯  말한 것도 있었다.,
0,선생님,,많이 불안하고 무서울거야.#그래서 다른 사람에게 쉽게 가지 못하지,
0,,,처음에 마이에 대한 평가도 그랬다.,
0,,,같이 친하게 지내주는 거같아서 기쁘면서도,
0,,,언제 돌아설지 모르겠다고,
0,,,주변 상황이 좋지 않아 그런게 아닐까 생각하고 있었다.#하지만 원래 그런 성격이라는 거구나,
0,,,전혀 그럴거라 생각하지 못했다.,
0,호시코,,니아는 여기서 편하게 지내다 갔나요?,
0,선생님,,오히려 몇마디 건내니까 도망쳐 버렸어,
0,,,이해가 되는 말이였다.,
0,,,계속 신경 쓰는 것을 긁고 알려 하니까 피하고 싶겠지,
0,,,많은 사람들이 자신의 영역에 들어오는건 달가워 하지 않는다,
0,,,나도 그랬을지도 모르고,
0,,,인터넷에서 본 글이였지만 지금 상항을 대변해주는 말 같았다.,
0,호시코,,감사합니다.,
0,,,내가 잘 알지 못한걸 알아 가는 기분이 들었다.,
0,,,그리고 지금의 니아에게 어떤 말이 필요한지 어렴풋이 알 수 있었다.,
0,,,물론 생각대로 잘 될까는 잘모르겠지만,
0,호시코,,그럼 저는 이만 물러나볼게요,
0,선생님,,필요하면 언제든지 찾아와도 돼,
0,호시코,,네,
0,,,가볍게 목례하고 호시코는 문을 통해 나가싿.,
0,,RemoveTalker,1,
0,,ChangeBackground,SchoolHallway,
0,,,내가 잘 말할 수 있을까?,
0,,,이런 저런 도움을 받으며 갈피가 잡히긴 했다.,
0,,,하지만 난 사람을 위로한다거나 그런 일은 잘 하지 못했다.,
0,호시코,,할 수 밖에 없지,
0,,,그래 내가 아니면 전할 수 없는 말도 있을거야,
0,,,흔들리는 마음을 애써 붙잡았다.,
0,,Bookmark,페이드 인 아웃 설정해주세요,
0,,Bookmark,그리고 마지막에 이벤트에 LoadCSV(드롭다운에 있음) 넣어주세요,
0,,FadeOut,1,
0,,LoadCSV,,
