Branch,Talker,Event,Content,Key
0,,Bookmark,여기에는 담임선생님 성공파트를 적어주세요,
0,,ChangeBackground,SchoolHallway,
0,,ChangeBGM,Snowsnow,
0,,FadeIn,1,
0,,,니아와 친하게 지내던 애가…,
0,,,몇반인지는 그때 니아가 이야기 한 적 있었다.,
0,,,다만 실물로 본적은 없었던 만큼 잘 찾을 수 있을지가 걱정이였다.,
0,,,쉬는 시간이 되고 호시코는 뒷문에서 마이를 찾기 위해 반을 살펴보았다.,
0,,,대충 봐서는 잘 모르겠는데?,
0,,,그런 생각이 들 때였다.,
0,Extra,AddTalker,1,
0,,SelectTalker,1,
0,마이,,어 뭐야 너 호시코 맞지?,
0,,,바로 앞까지 붙으며 한 여자아이가 말했다.,
0,호시코,,응 네가 마이야?,
0,마이,,날 찾아온거구나?,
0,,,확실히 적극적이고 활발한 아이가 맞구나,
0,,,저렇게 기력 넘치는 애들과는 잘 맞지 않는데 말야,
0,,,호시코가 무슨 생각을 하는지는 중요한 것이 아니였다.,
0,,,마이는 주변을 두리번 두리번 둘러 보더니 호시코를 데리고 이동했다.,
0,,,그곳은 복도 끝 계단이 있는 곳이였다.,
0,마이,,여기라면 듣는 사람도 없겠네,
0,,,내가 뭔갈 물어볼 거란건 잘 알고 있구나,
0,,,신기하다면 신기한 경험이였다.,
0,마이,,그래서 뭘 물어보러 온거야?,
0,호시코,,니아의 부모님에 대해 들어본 적 있어?,
0,,,나에겐 매우 소중한 사람이라는 것 정도만 말해 준 적 있었다.,
0,,,그래서 당연히 같이 지내는분들이 부모님일 거라 생각하고 있었고,
0,,,마이는 호시코의 말에 고개를 저었다.,
0,마이,,아니 니아는 그런 이야기는 잘 안해주거든,
0,호시코,,역시 그런거겠지,
0,,,그럼 어떤걸 물어 봐야 할까,
0,,,잠시 고민하는 호시코에게 마이는 다른 말을 해주었다.,
0,마이,,대신 너에 대한 이야기는 많이 했었지,
0,호시코,,나?,
0,,,의외의 대답에 호시코는 마이를 빤히 쳐다봤다.,
0,,,그 행동이 무엇을 원하는지 마이는 누구보다 잘 알고 있었다.,
0,마이,,내 기억상으론 늘 네 이야길 하곤 했거든,
0,,,그럴 거란 생각은 크게 한 적 없었다.,
0,,,우연히 옥상에서 만나 가까워진,
0,,,아니 공원에서 만남이 시작되긴 했었지,
0,,,그렇다 한들 평범한 친구 사이라 생각하고 있었다.,
0,마이,,어떨땐 깬다거나 어떨땐 너무 멋잇다거나 같은거,
0,호시코,,괜히 미안한데,
0,,,호시코에 말에 마이는 킥킥거리며 웃었다.,
0,,,그것도 잠시 다소 진지한 표정으로 호시코에게 자신의 의문을 던졌다.,
0,마이,,몸이 안좋은게 아닌거지?,
0,호시코,,예민하네,
0,,,가장 가깝게 지낸다면 어느정도 알 수 있을거라 생각했다.,
0,마이,,잘 극복해냈으면 좋겠네,
0,호시코,,괜찮을거야,
0,,,확신에 찬 대답에 마이는 게슴츠레 한 눈으로 호시코를 쳐다봤다.,
0,,,왜 저런 눈으로 보는걸까,
0,호시코,,그건 무슨,
0,,,호시코가 물어보려 했지만 복도에는 종소리가 크게 퍼졌다.,
0,,,마이는 그 소리를 듣고 화들짝 놀랐다.,
0,마이,,아 책 안받았는데!,
0,,,그대로 마이는 호시코에게 손을 흔들고 그 자리에서 사라졌다.,
0,,RemoveTalker,1,
0,,,생각보다 각별하게 여겨지고 있다는거지,
0,,,지금까지의 말을 정리하면 그런 상황인 것 같았다.,
0,,,전혀 그럴거란 생각을 해본 적 없었다.,
0,,,스쳐지나가는 친구사이니까,
0,,,거리가 멀어지면 마음도 멀어진다고#더 잘 어울리며 친하게 지낼 친구를 사귈거라 생각했다.,
0,,,하지만 내가 그렇게 생각할 뿐인 거였다.,
0,,,니아를 찾아가 만나고 싶다는 생각도 들었지만 마음 한편이 그걸 거부했다.,
0,,,이런 짓을 해놓고 무슨 자격으로 그런 일을 하겠어.,
0,,,더 많은 걸 알고 진심으로 공감해 줄 수 있을때 찾아가야 하는거겠지.,
0,,,그게 아니라면… 무슨일이 생기는거,
0,,,호시코는 그자리에 한참을 서 있었다.,
0,,,나머지 일들은 내일 마저 생각하자,
0,,Bookmark,페이드 인 아웃 설정해주세요,
0,,Bookmark,그리고 마지막에 이벤트에 LoadCSV(드롭다운에 있음) 넣어주세요,
0,,FadeOut,1,
0,,LoadCSV,,
