Branch,Talker,Event,Content,Key
0,,Bookmark,여기는 니아친척 실패파트를 적어주세요,
0,,ChangeBackground,NiaHomeOutfront,
0,,ChangeBGM,NakusitaMirai,
0,,FadeIn,1,
0,,,지금까지 다른분들과 이야기 해본 적은 적었다.,
0,,,니아에 대해 물어보면 되는걸까?,
0,,,아직 어떤 식으로 물어 봐야 할지 잘 이해할 수 없었다.,
0,,,호시코는 니아네 집 초인종을 눌렀다.,
0,호시코,,실례합니다.,
0,철우,,호시코라고 하던가?,
0,,,현관문이 열리며 중년의 남자가 모습을 보였다.,
0,,,저분이 니아네 이모부인거지 그럼?,
0,호시코,,네 맞아요 여쭤보고 싶은게 있어서 왔어요,
0,,,호시코의 말에 현관문이 활짝 열렸다.,
0,,,실례하겠습니다 라는 말을 하며 안으로 들어갔다.,
0,,ChangeBackground,NiaLivingRoom,
0,Extra,AddTalker,0,
0,Extra,AddTalker,2,
0,,SelectTalker,0,
0,철우,,뭘 알고 싶니?,
0,호시코,,니아에 대해서 알려주세요,
0,,,호시코는 자신이 무엇을 알아보는지,
0,,,그 의도는 무엇인지 설명했다.,
0,,,그 이야기를 모두 듣고 두 분은 깊은 생각에 잠기신 듯 보였다.,
0,,SelectTalker,2,
0,수련,,니아가 우리에게 터놓고 이약기 한 적은 없단다.,
0,,SelectTalker,0,
0,철우,,다만 이야기를 들어보니 네가 형부와 닮은 구석이 있다고 느껴지긴 하는구나,
0,,,형부라는건 니아네 아버지를 말하는건가?,
0,호시코,,그럼 그분에 대한 이야기를 해주실 수 있나요?,
0,,,아버지와 겹쳐 보인다…,
0,,,좋은 말이 아니라는 것 정도는 알 수 있었다.,
0,철우,,그래서 지금은 우리가 니아를 맡아서 키우게 된거지,
0,호시코,,네네,
0,,,니아는 소극적일 뿐 강한 아이라고 생각을 하곤 했다.,
0,,,그런 심한 괴롭힘을 받으면서도 이런 안타까운 일을 겪으면서#단 한번도 힘들다는 말을 하지 않았으니까,
0,,,하지만 감정에 솔직하지 못한 평범한 아이가 아니였을까 생각이 들었다.,
0,,,표현 하는 방법을 몰라 혼자 끌어 안고 있던 거지,
0,,,그 이후엔 니아에 대한 이야기를 들을 수 있었다.#홀로 어떻게 지내는지 어떤 말을 하는지,
0,철우,,그때 문에 기대서 듣다 보면 형부이름을 자주 부르곤 하더구나,
0,,SelectTalker,2,
0,,,혼자서 버티고 버티다가 무너진 거구나,
0,,,그런 상황이라면 내가 곁에 있어주는게 더 좋지 않을까,
0,,,호시코는 그런 생각에 도달했다.,
0,호시코,,자러 가기전가지 니아와 함께 있어도 될까요?,
0,철우,,그래주면 우리가 고마울 거 같구나,
0,,RemoveTalker,0,
0,,RemoveTalker,2,
0,,,호시코는 그 말을 끝으로  계단을 올랐다.,
0,,,니아의 방 문을 두드린 후 조금 시간을 기다렸다.,
0,Nia,AddTalker,1,
0,,,안에서 부스럭 거리는 소리가 들리더니 니아가 문을 열고 나왔다.,
0,호시코,,다녀왔어,
0,1,,응…,
0,,,호시코는 방 안으로 들어갔다.,
0,,ChangeBackground,NiaRoom,
0,,,방안에선 별다른 행동을 하진 않았다.,
0,,,그냥 옆에서 자리를 지켜주고 있었다.,
0,,,이런 경험은 전혀 없었던 만큼 안정감만 잡아주는 걸로 충분했다.,
0,,,니아도 별 다른 반응 없이 그 시간을 보냈다.,
0,,,한창 친해지던 도중 옥상에서 있던 때가 머리속에 떠올랐다.,
0,,,지금과 상황은 비슷했지만 그땐 이런 일이 생길거라 생각할 수 있었을까,
0,,,늦은 시간까지 방에 있던 호시코는 집으로 돌아가기 위해 일어섰다.,
0,,,니아는 그런 호시코를 잡지 않았다.,
0,호시코,,다음에 또 봐,
0,1,,알겠어,
0,,RemoveTalker,1,
0,,,호시코는 그 말을 끝으로 방을 나왔다.,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,NiaLivingRoom,
0,,SetTimer,0.5,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,NiaHomeOutfront,
0,,SetTimer,0.5,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,Town,
0,,SetTimer,0.5,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,Riverside,
0,,SetTimer,0.5,
0,,ChangeBackgroundByMove,HoshikoRoom,
0,,,머리가 굳은 것 처럼 생각이 돌아가지 않았다.,
0,,,아직 확인 해야 하는 것들도 산더미인데 벌써 흔들려서는 안된다.,
0,,,흔들리는 마음을 다잡았다.,
0,,,호시코는 책상 의자에 앉았다.,
0,,,오늘 알아낸 것들을 노트에 끄적끄적 적으며 하루를 마무리 했다.,
0,,Bookmark,페이드 인 아웃 설정해주세요,
0,,Bookmark,그리고 마지막에 이벤트에 LoadCSV(드롭다운에 있음) 넣어주세요,
0,,FadeOut,1,
0,,LoadCSV,,
