Branch,Talker,Event,Content,Key
0,,Bookmark,여기는 니아친척 성공파트를 적어주세요,
0,,ChangeBackground,NiaHomeOutfront,
0,,ChangeBGM,NakusitaMirai,
0,,FadeIn,1,
0,,,지금까진 가볍게 만나 뵈었을 뿐 이야기를 나눈 적은 없었다.,
0,,,지금까지 들은 이야기를 머리속으로 정리했다.,
0,,,이곳에서 가장 중요한 이야기는#니아네 아버지에 대해 물어 보는 것이였다.,
0,,,가장 큰 문제는 이쪽이였으니까,
0,,,호시코는 니아네 집 초인종을 눌렀다.,
0,호시코,,실례합니다.,
0,철우,,호시코라고 하던가?,
0,,,현관문이 열리며 중년의 남자가 모습을 보였다.,
0,,,저분이 니아네 이모부인거지 그럼?,
0,,,호시코는 차분하게 대답했다.,
0,호시코,,네 맞아요 여쭤보고 싶은게 있어서 왔어요,
0,,,호시코의 말에 현관문이 활짝 열렸다.,
0,,,실례하겠습니다 라는 말을 하며 안으로 들어갔다.,
0,,ChangeBackground,NiaLivingRoom,
0,Extra,AddTalker,0,
0,Extra,AddTalker,2,
0,,SelectTalker,0,
0,철우,,더 궁금한게 있니?,
0,호시코,,다름이 아니라 여쭤보고 싶은게 있어서요,
0,,,호시코는 자신이 무엇을 알아보는지,
0,,,그 의도는 무엇인지 설명했다.,
0,,,그 이야기를 모두 듣고 두 분은 깊은 생각에 잠기신 듯 보였다.,
0,,SelectTalker,2,
0,수련,,니아가 우리에게 터놓고 이약기 한 적은 없단다.,
0,,SelectTalker,0,
0,철우,,다만 이야기를 들어보니 네가 형부와 닮은 구석이 있다고 느껴지긴 하는구나,
0,,,형부라는건 니아네 아버지를 말하는건가?,
0,,,아버지와 겹쳐 보인다…,
0,,,들어봤을때 좋은 이야기는 아니란건 알 수 있었다.,
0,,,생각에 빠져 있는 사이 철우는 마저 말하고 있었다.,
0,철우,,가끔 훌쩍거리는 소리가 들리곤 했거든,
0,호시코,,네네,
0,,,그 이후로 많은 이야기를 들을 수 있었다.#아버지가 어머니가 어떤사람인지,
0,,,평소에 어떻게 행동하는지#방에서 홀로 어떻게 보내는지,
0,,,니아는 소극적일 뿐 강한 아이라고 생각을 하곤 했다.,
0,,,그런 심한 괴롭힘을 받으면서도 힘들다고 말하거나 짜증 한번 낸 적 없었으니까,
0,,,하지만 감정에 솔직하지 못한 평범한 아이가 아니였을까 생각이 들었다.,
0,철우,,,
0,,SelectTalker,2,
0,수련,,갑작스런 사고로 부모님을 잃었으니까…,
0,,,대략적으로 들은 이야기를 정리해보자,
0,,,아버지를 굉장히 그리워 하고 있으면서 나와 그 아버지를 겹쳐보고있었다.,
0,,,그런 이야기인거겠지,
0,,,웃을 수 없는 이야기였다.,
0,,,그리고 내가 크게 다친것 처럼 보이니까 그때 그런 반응을 보인거고…,
0,,,이제서야 상황을 제대로 볼 수 있었다.,
0,,,내가 생각했던 것 보다 훨씬 더 크게 녹아 들어있던거구나 나는…,
0,,,괜한 짓을 벌이려 한게 아닐까 생각이 들 정도였다.,
0,,,호시코는 속이 꽉 막힌 답답한 느낌이 들었다.,
0,,,생각할 시간이 필요해,
0,호시코,,죄송합니다만 오늘은 돌아가볼게요,
0,,SelectTalker,0,
0,철우,,그러렴 푹 쉬고 다시오려무나,
0,,,호시코는 머리를 부여잡고 밖으로 빠져나왔다.,
0,,RemoveTalker,0,
0,,RemoveTalker,2,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,NiaHomeOutfront,
0,,,모든 걸 이해했지만 이해하지 못한 것 같았다.,
0,,,날 그렇게 바라 보고 있었던 거구나,
0,,,지금까지의 행동에 많은 상처를 받았을 거란 것도 알 수 있었다.,
0,,,나는 도대체 무엇을 위해..,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,Town,
0,,,애써 무시한 거란건 잘 알고 있었다.,
0,,,다른 애들과 다니는 것과는 다른 감정이 들었다는 것 도 알고 있었다.,
0,,,그걸 외면한 결과가 이렇게 된거구나,
0,,,어떻게 마주봐야 하는지 알 수 없었다.,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,Riverside,
0,,,내일 모든걸 정리해서 말하자,
0,,,다소 상처를 주는 말일 수 있지만 그럼에도 해야만 했다.,
0,,,거리감이 생기거나 멀어지게 된다면 그건 나의 몫인거지,
0,,,호시코는 마음을 먹었다.,
0,,,이젠 어떻게 말을 해야할지도 잘 알 수 있었다.,
0,,PlaySE,Walk,
0,,ChangeBackgroundByMove,HoshikoRoom,
0,,,호시코는 침대에 몸을 날렸다.,
0,,,더 이상 생각하기엔 벅찬 날이였다.,
0,,,자고 일어나자. 그리고 그때 모든걸 정하자,
0,,,그런 생각으로 호시코는 눈을 감고 생각을 비웠다.,
0,,Bookmark,검은 화면(페이드 인 아웃설정),
0,,Bookmark,그리고 마지막에 이벤트에 LoadCSV(드롭다운에 있음) 넣어주세요,
0,,FadeOut,1,
0,,LoadCSV,,
,,,,
,,,,
,,,,
,,,,
